track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
3tjFYV6RSFtuktYl3ZtYcq,4638,3860,17,2365,140525,95,0.7,0.221,0.722,0.0,0.272,-3.558,0.0369,90.989,4,0
5YYW3yRktprLRr47WK219Y,2111,1848,3141,2498,218106,90,0.585,0.39,0.611,0.0,0.649,-4.132,0.288,97.041,4,0
7igeByaBM0MgGsgXtNxDJ7,8508,7311,271,2424,172324,47,0.736,0.468,0.802,0.0,0.094,-4.759,0.0864,144.005,4,0
0ri0Han4IRJhzvERHOZTMr,546,6290,2934,2361,170344,86,0.813,0.777,0.415,0.0,0.131,-5.926,0.0349,91.921,4,0
1nYzjrdVQ8RpF93M0jPFW7,5756,4943,3248,2433,227186,85,0.679,0.585,0.61,9.51e-05,0.156,-10.936,0.0305,123.978,4,0
0lx2cLdOt3piJbcaXIV74f,8536,7279,3571,2461,214706,86,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,81.112,4,0
45S5WTQEGOB1VHr1Q4FuPl,2773,2064,1541,2238,208906,88,0.448,0.21,0.838,0.000131,0.131,-5.257,0.0557,139.863,4,0
0v1x6rN6JHRapa03JElljE,2043,1771,350,2381,199053,28,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0
47EiUVwUp4C9fGccaPuUCS,2044,1774,357,2430,205090,93,0.731,0.401,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4,0
7FGdjbZ32vMybPuP0IuE7d,636,5397,2952,2500,184489,77,0.759,0.151,0.538,0.0,0.126,-8.256,0.384,146.933,4,0
65OVbaJR5O1RmwOQx0875b,8053,5218,1076,2524,192956,88,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4,0
6toQdWWc4noiOk3Eo5mVDS,731,663,3425,2519,200424,79,0.853,0.0765,0.426,0.0,0.104,-6.812,0.374,160.051,4,0
5Kskr9LcNYa0tpt5f0ZEJx,1119,1124,2206,2506,205458,94,0.907,0.451,0.393,1.35e-06,0.135,-7.636,0.0539,104.949,4,0
3aQem4jVGdhtg116TmJnHz,8180,5218,1076,2524,178153,89,0.781,0.0136,0.594,0.0,0.162,-6.959,0.0485,129.895,4,0
4Iedi94TIaB2GGb1nMB68v,5051,4274,2195,2455,135959,84,0.856,0.00327,0.564,0.0,0.134,-6.295,0.392,77.972,4,0
7JuHVG3qQKQKxC4doneXVW,636,555,2952,2433,184489,83,0.759,0.151,0.538,0.0,0.126,-8.256,0.384,146.933,4,0
4FRW5Nza1Ym91BGV4nFWXI,4022,5218,1076,2524,383036,85,0.77,0.103,0.637,0.0,0.171,-5.53,0.345,94.966,4,0
