track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
59SoAaZ8tWxL5OBkWOG6aN,7755,6625,2663,2419,178771,6,0.604,0.13,0.536,0.0,0.162,-6.186,0.0345,151.737,4,0
3hLuHKzG1cmlRpq53ZVWd8,7258,2380,1375,2344,215140,77,0.519,0.18,0.552,0.0,0.149,-5.023,0.0259,89.957,4,0
3M4rxsJSUvKPjGy5yMeQ5j,2865,1355,3765,2524,181266,68,0.629,0.0119,0.788,1.15e-06,0.14,-6.467,0.0242,104.971,4,0
7D1iGhQakEW8oFCfWBlRek,1035,1049,2560,2475,205450,71,0.565,0.0473,0.743,0.0,0.0781,-4.833,0.0329,85.012,4,0
62SvLj5dBDI9Ee3eBA0BxL,6409,3607,3586,2250,198208,61,0.574,0.0135,0.792,0.0,0.11,-5.868,0.0489,104.989,4,0
5xMxyWRoe37nUlHDk72cSW,4212,3404,1295,2506,194773,61,0.402,0.389,0.602,0.0,0.0915,-6.1,0.0382,119.896,3,0
4bQZKz3ski6U9wSEuVbRxV,7068,5920,3272,2405,166005,69,0.645,0.0089,0.733,0.0,0.0228,-5.069,0.139,96.971,4,0
53bZYxVbCYm6w1Gx8U64bz,6158,7110,2553,2215,197453,72,0.643,0.0215,0.756,0.000268,0.101,-5.8,0.0305,90.001,4,0
7cwKO3SvjCpTyLiIWfnxpx,7478,4922,2117,2192,206320,62,0.661,0.518,0.67,2.2e-06,0.13,-5.58,0.0307,139.852,4,0
7Cw3yXDA8Uui37SI5FFaA7,8181,7046,3765,2436,170372,71,0.355,0.000532,0.706,0.0,0.264,-6.164,0.0309,174.005,4,0
0h6qJZXkVGNUIoM4q8CrFH,8259,7102,609,2485,172826,66,0.578,0.472,0.763,0.0,0.135,-7.498,0.0443,92.01,4,0
6Hr1oAF1r1YsgBb8QEi545,1400,1314,570,2455,236375,66,0.567,0.67,0.395,0.0,0.309,-11.061,0.0322,87.931,4,0
3TNSVsiFngfe68UJpMq1oS,6597,5681,743,2385,240413,76,0.638,0.452,0.538,0.000415,0.0695,-8.445,0.0315,89.124,4,0
0x5aqRejnsR6kiMq0ficsp,3178,2824,1977,2419,205798,52,0.514,0.104,0.728,0.0,0.138,-7.216,0.0496,144.022,4,0
7r4QGA98fNi3iPxc7umIjt,3712,3183,2970,2415,188012,3,0.546,0.189,0.788,0.0,0.159,-3.302,0.0324,150.084,4,0
72xDxwWk5h3XfGXcCWJASo,4099,104,1295,2485,201066,62,0.572,0.163,0.691,0.0,0.14,-5.038,0.0314,130.974,4,0
7mDZ2NdYOeKFcz2zGnKBwU,2781,2385,211,2396,169254,28,0.529,0.0175,0.723,0.0,0.364,-6.022,0.035,119.942,4,0
5NUXE8W12lWcUXgJRCjeEw,5103,4315,1989,2397,203893,77,0.697,0.247,0.535,0.0,0.569,-6.504,0.068,82.959,4,0
4iK2zz811mSOLZqLGgII16,6198,1425,1082,2399,157866,70,0.657,0.0481,0.639,0.0,0.196,-5.483,0.0308,122.047,4,0
4q6L3Ca4YuLHWg8YZqfMvE,4209,3526,1620,2399,231265,70,0.506,0.423,0.627,7.4e-05,0.0755,-7.851,0.0273,141.89,4,0
77Bt2DXJE1R1qsnm4D10Ox,997,998,3272,2484,223129,71,0.531,0.436,0.552,0.0,0.0786,-5.945,0.0309,74.931,3,0
27SEGAFBjr1CsjLcUu0Z4f,5819,4998,4013,2490,235743,65,0.657,0.12,0.601,0.0,0.0784,-5.933,0.0899,152.005,4,0
4ijajhHtBsOn91S4dgkhu7,4572,3808,483,2485,228186,72,0.546,0.00187,0.934,0.0,0.062,-3.796,0.0643,89.972,4,0
1OTX8FOeKJt1v9mIxuF8sc,4210,3527,1295,2393,152372,66,0.612,0.185,0.842,0.0,0.151,-3.547,0.0372,129.973,4,0
